biote_clinic_name,biote_phone,biote_street,biote_city,biote_state,biote_zip,evexipel_practiceName,evexipel_phone,evexipel_street,evexipel_city,evexipel_stateCode,evexipel_zip,evexipel_id
Kadavil FNP & Associates PC,(210) 699 6993,8038 Wurzbach Rd  Suite 510,San Antonio,TX,78229,Seger MD Wellness & Weight Management,(830) 355-3139,8038 Wurzbach Road Suite 250,San Antonio,TX,78229,evx-2542
"Valley Aesthetics, LLC",956-230-3312,5505 S. Expressway 77  Suite 203,Harlingen,TX,78550,Rio Grande Medicine,(956) 436-5274,5505 S. Expressway 77 Ste 205,Harlingen,TX,78550,evx-2254
Austin Preferred Integrative Medicine,(512) 442-2727,6836 Bee Cave Road Building 1  Suite 200,Austin,TX,78746,Vik Medical Concierge,(737) 265-4214,6836 FM 2244 Rd Ste 103,Austin,TX,78746,evx-2078
ICAM Institute of Amarillo,806-468-4616,1901 Medi-Park  Ste 1001,Amarillo,TX,79106,Amaro Integrative Medicine,(806) 605-1545,1901 Medi-Park Dr Ste 1048,Amarillo,TX,79106,evx-2051
Lubbock Family Medicine,806-698-8088,7008 Indiana Ave.  Suite A,Lubbock,TX,79413,Lubbock Family Medicine,(806) 606-0948,7008 Indiana Ave Ste,Lubbock,TX,79413,evx-2356
"Advanced Health Clinic, LLC",801-447-8680,630 W. Shepard Lane  #102,Farmington,UT,84025,Advanced Health Clinic,(801) 516-4822,630 Shepard Ln Ste 102,Farmington,UT,84025,evx-2639
Vgentle,801-796-2229,394 W Main Street  Suite 209,Lehi,UT,84043,Helix Springs Family Care,(385) 421-9478,394 W Main St. Ste 209,Lehi,UT,84043,evx-2648
Brad Rodgers Family Practice & Sports Medicine,308-237-2273,102 3rd Ave Suite A,Kearney,NE,68845,Brad Rodgers Family Practice,(308) 737-4216,102 3Rd Ave Ste,Kearney,NE,68845,evx-1524
Regenirex,308-237-9696,5205 2ND Ave Suite 1,Kearney,NE,68847,Tim Mason Family Medicine and Wound Care,(308) 646-0447,5205 N 2nd Ave Ste 3,Kearney,NE,68847,evx-1526
Bargas Wellness,405-607-4445,3839 S Boulevard St Suite 100,Edmond,OK,73013,Bargas Wellness,(572) 220-2925,3839 S. Boulevard St Ste 100,Edmond,OK,73013,evx-1758
Magnolia Clinic,405-585-0475,4409 N Kickapoo Suite 121,Shawnee,OK,74804,Magnolia Clinic,(405) 704-3869,4409 N Kickapoo Ave. Ste 121,Shawnee,OK,74804,evx-1795
Osage Valley Plastic Surgery,(573) 348-4863,985 Executive Beach,Osage Beach,MO,65065,Osage Valley Plastic Surgery,(573) 524-8848,985 Executive Drive,Osage Beach,MO,65065,evx-1368
Osage Valley Plastic Surgery - Columbia,(573) 348-4863,1601 Broadway Ste. 250,Columbia,MO,65201,Osage Valley Plastic Surgery - Columbia,(573) 533-4125,1601 East Broadway Suite 250,Columbia,MO,65201,evx-1359
Ada Aesthetic Inc,(580) 279-6002,1414 Arlington,Ada,OK,74820,Ada Aesthetics,(918) 842-3432,1414 Arlington Ste 1500,Ada,OK,74820,evx-1751
The Skin Company,580-279-6002,23 E Choctaw Ave Ada Aesthetic,Mcalester,OK,74501,The Skin Company Med Spa,(918) 302-2824,23 E Choctaw Ave,McAlester,OK,74501,evx-1774
Silk & Co Medical Aesthetics & Spa,720-287-2067,117 N Main Street Suite B,Brighton,CO,80601,Silk & Co. Medical Aesthetics & Spa,(970) 598-0596,117 N Main Street Suite,Brighton,CO,80601,evx-0252
Cherry Creek Family Medicine,720-699-7672,6551 S Revere Pkwy. Suite 225,Centennial,CO,80111,Invigorate Advanced Aesthetics,(720) 580-4493,6551 S Revere Pkwy Ste 120,Centennial,CO,80111,evx-0261
"Elite Health Colorado, PLLC",(719) 300-7700,5925 Lehman Drive,Colorado Springs,CO,80918,Elite Health Colorado,(719) 286-5047,5925 Lehman Drive Ste 1,Colorado Springs,CO,80918,evx-0273
Women’s Health Care Associates - Sky Ridge,303-788-8460,10107 Ridge Gate Parkway #320,Lone Tree,CO,80124,Evexias Medical Centers - Denver,(720) 730-3114,10107 Ridgegate Pkwy Ste 360,Lone Tree,CO,80124,evx-0346
Integrative Womens Care,303-791-2112,10099 Ridgegate PKWY #280,Lone Tree,CO,80124,Atagi Aesthetics & Besana Wellness,(303) 951-5527,10099 Ridgegate Pkwy Ste 430,Lone Tree,CO,80124,evx-0344
MedNOW - Colorado Springs,(719) 634-8891,2960 N Circle Dr Suite 200,Colorado Springs,CO,80909,Newma LLC,(719) 249-8233,2960 N Circle Dr Ste 100,Colorado Springs,CO,80909,evx-0280
Women's Health Care Associates,303-795-0890,7720 S. Broadway #440,Littleton,CO,80122,Anti-Aging at South Suburban,(720) 605-7350,7720 South Broadway Suite 480,Littleton,CO,80122,evx-0332
Advent Health Medical Group OB/GYN @ Littleton,(720) 922-6420,7720 South Broadway Suite 250,Littleton,CO,80122,Anti-Aging at South Suburban,(720) 605-7350,7720 South Broadway Suite 480,Littleton,CO,80122,evx-0332
Premier Spine & Pain Institute,303-844-5000,9351 Grant Street Suite 490,Thornton,CO,80229,Premier Spine & Pain Institute,(720) 650-7057,9351 Grant St Suite 490,Thornton,CO,80229,evx-0375
Skinbar Medspa,(720) 665-5540,12001 Tejon St. #130,Westminster,CO,80234,Skin Bar MedSpa Colorado,(720) 669-7198,12001 Tejon St. Ste 130,Westminster,CO,80234,evx-0379
Panhandle Weight Loss Center,806-677-7952,1301 S. Coulter Suite 413,Amarillo,TX,79106,Women's Healthcare Assoc - CA,(806) 591-3216,1301 S. Coulter St Suite 300,Amarillo,TX,79106,evx-2061
Refined Health and Wellness,(806) 220-6999,1901 Medi Park Dr Suite 205,Amarillo,TX,79106,Amaro Integrative Medicine,(806) 605-1545,1901 Medi-Park Dr Ste 1048,Amarillo,TX,79106,evx-2051
Panhandle Wellness,806-359-5468,7620 Wallace Blvd,Amarillo,TX,79124,Panhandle Wellness,(806) 350-6571,7620 Wallace Blvd.,Amarillio,TX,79124,evx-2050
Acute and Chronic Pain and Spine Center,806-353-6100,24 Care Circle,Amarillo,TX,79124,West TX Valor Pain & Spine Wellness Inst,(806) 513-5778,24 Care Cir,Amarillo,TX,79124,evx-2060
Daneshfar Aesthetics Center,(806) 350-5326,24 Care Circle,Amarillo,TX,79124,West TX Valor Pain & Spine Wellness Inst,(806) 513-5778,24 Care Cir,Amarillo,TX,79124,evx-2060
Family Care Clinic of Bushland,806-310-9855,1600 FM 2381,Amarillo,TX,79124,Family Care Clinic of Bushland,(806) 256-6562,1600 S S Farm To Market Rd 2381,Amarillo,TX,79124,evx-2056
Nu-Reflections Medspa LLC,720-487-0029,1052 N. Cleveland Ave,Loveland,CO,80537,Nu-Reflections Medspa,(970) 670-9595,1052 North Cleveland Avenue,Loveland,CO,80537,evx-0353
Osage Valley Plastic Surgery - Rolla,(573) 426-7020,201 S Bishop Ave Suite. B,Rolla,MO,65401,Osage Valley Plastic Surgery - Rolla,(573) 677-9363,201 South Bishop Avenue Ste.,Rolla,MO,65401,evx-1371
"Ageless Med Spa, Inc",(319) 393-3984,1195 East Post Rd Ste. 4,Marion,IA,52302,Ageless Med Spa,(319) 205-3513,1195 E post Road Unit 4,Marion,IA,52302,evx-0944
Valley View Family Medical Clinic,940-726-5750,909 Frontage Rd. ,Valley View,TX,76272,Valley View Family Medical Clinic,(940) 291-3224,909 N Frontage Rd,Valley View,TX,76272,evx-2601
HIPOR Health+,(314) 499-6888,14825 N Outer 40 rd Ste 310,Chesterfield,MO,63017,HIPOR,(314) 988-2194,14825 North Outer 40 Rd Ste 310,Chesterfield,MO,63017,evx-1357
Thrive Aesthetics & Wellness LLC,(314) 258-5220,12977 N 40 Drive Ste 218,St. Louis,MO,63141,Simply Health Integrated Medical LLC,(618) 538-0856,12977 N 40 Dr Ste 105 St.,Louis,MO,63141,evx-1366
4Ever Young STL MedSpa,314-330-8117,11716  Studt Ave,St. Louis,MO,63141,4Ever Young Med Spa,(636) 689-3527,11716 Studt Ave,Saint Louis,MO,63141,evx-1372
The Lux MedSpa,(507) 246-2328,502 Division Street S,Northfield,MN,55057,The Lux MedSpa,(507) 824-4137,502 Division St S,Northfield,MN,55057,evx-1347
Modern Med,(314) 394-0204,10010 Watson Road,Saint Louis,MO,63126,Modern Med,(636) 422-5472,10010 Watson Rd,Saint Louis,MO,63126,evx-1374
Beauty Fix Aesthetics & Wellness,940-595-9115,6021 Morris Rd Suite 112,Flower Mound,TX,75028,Beauty Fix Aesthetics & Wellness,(940) 286-3299,6021 Morriss Rd Ste 112,Flower Mound,TX,75028,evx-2215
RescueMD,(972) 390-7667,945 Stockton Dr Unit 6100,Allen,TX,75013,Low Testosterone and Wellness Center,(903) 551-7969,945 W Stacy Rd Ste 120,Allen,TX,75013,evx-2045
"Jane Rowley, MD, PA",806-789-3218,3519 22nd Pl. ,Lubbock,TX,79410,"Rhiannon Newsom, Np-C",(806) 792-3715,3519 22Nd Place,Lubbock,TX,79410,evx-2365
The SKYN Lab,972-566-3303,7777 Forest Lane B-416,Dallas,TX,75230,GHD,(972) 843-7757,7777 Forest Ln Bldg-B Ste 416,Dallas,TX,75230,evx-2184
Metroplex Women's Health Care,(972) 475-9505,1020 W. Ralph Hall Parkway Suite 101,Rockwall,TX,75032,Metroplex Women's Health Care,(972) 789-4163,1020 West Ralph Hall Parkway Suite 101,Rockwall,TX,75032,evx-2511
Story Medical,(817) 346-4000,6049 Harris Parkway Suite 100,Fort Worth,TX,76132,Hulen Total Care PA,(972) 640-1212,6049 South Hulen Street,Fort Worth,TX,76132,evx-2220
Exceed Health Clinic,903-306-0001,3725 Mall Dr.,Texarkana,TX,75501,Exceed Health Clinic,(903) 501-3282,3725 Mall Ln,Texarkana,TX,75501,evx-2581
Liv Wellness Lounge,(815) 200-5614,525 1st Street,LaSalle,IL,61301,Liv Wellness Lounge,(815) 849-8508,525 1st St,Salle,IL,61301,evx-1071
"Johnathan Lewis, MD PLLC",(870) 836-5709,430 Magnolia Road,Camden,AR,71701,The Lewis Clinic,(870) 454-2499,430 Magnolia Rd,Camden,AR,71701,evx-0038
The Aesthetics Studio,(615) 663-7393,116 Lafayette Street Suite 1,Ottawa,IL,61350,"Integrative Primary Care, Inc.",(779) 237-8068,116 West Lafayette Street Ste 1,Ottawa,IL,61350,evx-1062
Liv Wellness Lounge,(815) 587-2412,827 E. Norris Drive,Ottawa,IL,61350,Liv Wellness Lounge - Ottawa,(815) 736-9038,827 E Norris Dr,Ottawa,IL,61350,evx-1063
Amazing Face Aesthetics,903-331-0863,405 W Loop 281 Suite J,Longview,TX,75605,Total Testosterone,(903) 304-1706,405 W Loop 281 Ste,Longview,TX,75605,evx-2342
Integrative Medical,815-977-7019,7177 Crimson Ridge Drive. Ste. 5,Rockford,IL,61107,Rockford Hormone Management,(779) 368-1850,7177 Crimson Ridge Dr. Suite 5,Rockford,IL,61107,evx-1070
Clinica la Esperanza,505-508-1739,1400 Barbara Loop SE STE A,Albuquerque,NM,87124,Mirage Wellness Center & Medspa,(575) 255-6967,1400 Barbara Loop SE Suite,Rio Rancho,NM,87124,evx-1603
"Megan Chandler, FNP-C",432-607-3200,600 Interstate 20 East,Stanton,TX,79782,Permian Basin Wellness,(432) 300-7314,600 Interstate 20,East Stanton,TX,79782,evx-2207
VivaBalance,432-607-3200,600 Interstate 20,Stanton,TX,79782,Permian Basin Wellness,(432) 300-7314,600 Interstate 20,East Stanton,TX,79782,evx-2207
Body For Life,(901) 464-0443,8370 US Hwy 51 N Ste. 106,Millington,TN,38053,Body for Life Millington,(901) 403-7365,8370 US Highway 51 N Ste 106,Millington,TN,38053,evx-2016
Mosaic Biohealth,970-812-3776,735 Bookcliff Avenue,Grand Junction,CO,81501,Mosaic Biohealth,(970) 695-8742,735 Bookcliff Avenue Unit,Grand Junction,CO,81501,evx-0318
Today's Wellness and Aesthetics,(708) 229-1444,3913 W 95th Street,Evergreen Park,IL,60805,P D Medical SC,(219) 491-1889,3913 W 95th St,Evergreen Park,IL,60805,evx-1035
Laccura Med Spa & Wellness Center,847-748-8948,1729 Green Bay Road,Highland Park,IL,60035,Laccura Medical Spa,(224) 313-4729,1729 Green Bay Rd,Highland Park,IL,60035,evx-1044
Reclaim Your Health and Wellness,(812) 442-5600,803 W National Ave,Brazil,IN,47834,Reclaim Your Health & Wellness,(765) 548-4316,803 W National Avenue,Brazil,IN,47834,evx-1090
Balance Health and Wellness Clinic,(512) 963-3993,1502 Blue Ridge Dr. Ste. 305,Georgetown,TX,78626,Wiseman Family - Georgetown,(512) 345-3530,1502 Blue Ridge Dr Ste 100,Georgetown,TX,78626,evx-2241
MegMed Health,(662) 539-7014,210 Hwy 30 W,New Albany,MS,38652,MegMed Health,(662) 576-2226,210 State Highway 30 W,New Albany,MS,38652,evx-1394
Discovery Health and Healing Center,(920) 343-6443,1601 S. Webster Avenue,Green Bay,WI,54301,Discovery Health Healing Center,(920) 536-4721,1601 S. Webster Ave,Green Bay,WI,54301,evx-2758
Advanced Hormone Therapy of Montgomery,936-582-0220,19782 Hwy W 105 Suite 111,Montgomery,TX,77356,Advanced Hormone Therapy Of Montgomery,(334) 409-6870,19782 Highway 105 W Ste 111,Montgomery,TX,77356,evx-2423
Del Pilar Medical and Urgent Care Center PC,(574) 320-6351,270 East Day Road 280,Mishawaka,IN,46545,Biosculpt Medical and Aesthetics LLC,(269) 229-6700,270 E Day Rd Ste 260,Mishawaka,IN,46545,evx-1111
Elevate Health & Wellness,208-881-2201,506 Honea Rd Suite 305,Magnolia,TX,77354,Biometric Profile Health,(281) 607-4105,506 Honea Egypt Rd Ste 104,Magnolia,TX,77354,evx-2379
MD Cosmedx Laser and Lipo Center,(270) 783-9535,2424 Airway Dr.,Bowling Green,KY,42103,MD Cosmedx,(270) 518-6469,2424 AIRWAY DRIVE,Bowling Green,KY,42103,evx-1138
Elegant Aesthetics Medical Spa,(615) 795-1123,214 2nd Avenue South,Franklin,TN,37064,Elegant Aesthetics,(931) 671-1329,214 2nd Ave S,Franklin,TN,37064,evx-1998
Northwest Women's Center,281-444-3440,13215 Dotson Rd. Ste 200,Houston,TX,77070,Willowbrook Wellness Center,(281) 524-2062,13215 Dotson Rd Suite 200,Houston,TX,77070,evx-2287
Cypress Comprehensive Medical Services,(832) 676-4512,10242 Greenhouse Rd. Unit 802,Cypress,TX,77433,New Beginnings Women's Care & Aesthetics,(346) 423-2964,10242 Greenhouse Road Ste 801,Cypress,TX,77433,evx-2173
Total Life Wellness & Aesthetics,(270) 982-3322,124 ERNEST R KOUMA BOULEVARD Ste 1,Radcliff,KY,40160,Total Life Wellness and Aesthetics,(812) 737-3921,124 Ernest R Kouma Blvd Ste 1,Radcliff,KY,40160,evx-1182
Texas Premier Physicians,(713) 714-2448,1415 North Loop West Ste. MezzC,Houston,TX,77008,Houston OG,(346) 233-1431,1415 North Loop W Ste 750,Houston,TX,77008,evx-2272
"Marissa Largoza MA, PA",210-692-0831,4499 Medical Dr. Unit 191,San Antonio,TX,78229,Crown Health & Wellness,(210) 934-9168,4499 Medical Dr Ste 250,San Antonio,TX,78229,evx-2525
Allure Gynecology and Aesthetics,(281) 857-0991,12727 Kimberly Ln Suite 304,Houston,TX,77024,ACPS - The Surgicentre,(346) 616-9715,12727 Kimberley Ln Ste 300,Houston,TX,77024,evx-2262
Champion Healthcare Group,(409) 347-8989,2850 Eastex Fwy Ste. 100,Beaumont,TX,77703,Champion Healthcare,(409) 207-8677,2850,Eastex Freeway #100 Beaumont,TX,77703,evx-2208
Beauty Bar & Wellness,(502) 414-4651,12406 La Grange Rd. Suite 201,Louisville,KY,40245,Beauty Bar and Wellness,(930) 300-4506,12406 La Grange Rd Ste 201,Louisville,KY,40245,evx-1161
R+ Med Spa,(270) 651-4772,210 Shane Drive,Glasgow,KY,42141,R+ Med Spa,(270) 606-7960,210 Shane Dr,Glasgow,KY,42141,evx-1148
Dr. Carlos Cardenas MD. PA.,(210) 465-5545,1303 McCullough Ave. Suite 533,San Antonio,TX,78212,Neera Bhatia MD PA,(210) 222-2694,1303 McCullough Avenue Suite 237,San Antonio,TX,78212,evx-2535
Her Health OBGYNFC,915-629-0442,9398 Viscount Blvd. 2B,El Paso,TX,79925,Higher Level Skin & Beauty El Paso,(915) 223-6705,9398 Viscount Blvd Bldg,Paso,TX,79925,evx-2460
Modern MD,(915) 228-3080,5915 Silver Springs Building 3 Suite A,El Paso,TX,79912,"Lauro I. Ortega, MD, PA",(915) 221-9240,5915 Silver Springs Dr Bldg,Paso,TX,79912,evx-2462
Iglesias Family Medicine,915-440-0099,9895 Alameda Ave Unit 118,El Paso,TX,79927,Iglesias Family Medicine,(915) 223-2902,9895 Alameda Avenue Ste 118,Socorro,TX,79927,evx-2556
Elite Doc Health and Beauty,(832) 446-3206,4665 Sweetwater Blvd 200,Sugarland,TX,77479,Elite Doc Health and Beauty,(979) 398-3899,4665 Sweetwater Blvd Ste 200,Sugar Land,TX,77479,evx-2572
Rejuvenation Laser Med Spa and Weight Loss,281-991-7603,5119 Fairmont Parkway Ste A,Pasadena,TX,77505,"Rejuvenation Laser Spa, LLC",(346) 567-8346,5119 Fairmont Pkwy Suite,Pasadena,TX,77505,evx-2449
Advanced Women's Healthcare,409-729-9222,2501 Jimmy Johnson Blvd Ste. 400,Port Arthur,TX,77640,Restore + Revive,(409) 245-5365,2501 Jimmy Johnson Blvd Ste 302,Port Arthur,TX,77640,evx-2493
Infinity Laser,502-350-4556,128 Keystone Avenue,Bardstown,KY,40004,Infinity Laser Med Spa,(859) 696-6320,128 Keystone Ave,Bardstown,KY,40004,evx-1137
LaComb Health and Wellness,409-962-8509,6000 39th St.,Groves,TX,77619,LaComb Health and Wellness,(409) 216-0627,6000 39th Street Suite,Groves,TX,77619,evx-2247
The Luxe Med Spa,(260) 316-2006,920 St Rd 930 E,New Haven,IN,46774,The Luxe Spa,(260) 308-3116,920 SR 930 E,New Haven,IN,46774,evx-1116
Aurora-Body BarMD,(812) 607-1449,502 2nd St. STE B,Aurora,IN,47001,Body Bar MD - Aurora,(317) 344-0930,502 2nd Street STE,Aurora,IN,47001,evx-1088
William A Dupon MD APMC,337-281-0996,233 Doucet Rd Suite A6,Lafayette,LA,70503,Dr Dupon Aesthetics and Anti-Aging,(337) 282-9155,233 Doucet Rd Ste,Lafayette,LA,70503,evx-1213
The Ageless Center,(859) 335-1330,149 Moore Drive,Lexington,KY,40503,Ageless Center,(859) 657-8683,149 Moore Dr,Lexington,KY,40503,evx-1149
Hourglass Aesthetics,(859) 904-5274,124 Clay Avenue,Lexington,KY,40502,Hourglass Aesthetics,(859) 470-3296,124 Clay Ave,Lexington,KY,40502,evx-1153
Wellward Regenerative Medicine,(859) 275-4878,101 N Eagle Creek Drive,Lexington,KY,40509,Wellward Regenerative Medicine,(859) 295-7499,101 N Eagle Creek Dr,Lexington,KY,40509,evx-1157
MiBella Wellness Center,205-995-1009,2807 Greystone Commercial Blvd Unit 38,Birmingham,AL,35242,MiBella Wellness Center,(938) 465-4061,2807 Greystone Commercial Blvd Ste 38,Hoover,AL,35242,evx-0014
Bopp Dermatology and Facial Plastic Surgery,504-455-9933,3421 N Causeway Blvd Suite 102,Metairie,LA,70002,Bopp Dermatology & Facial Plastic Surgery,(985) 308-5517,3421 N Causeway Blvd Ste 102,Metairie,LA,70002,evx-1223
Oak House Med Spa,5042222995,1640 Hickory Avenue Suite A,Harahan,LA,70123,Oak House Med Spa,(504) 499-1069,1640 Hickory Ave Ste,Harahan,LA,70123,evx-1209
Valencia MedSpa,865-333-6554,10321 Kingston Pike,Knoxville,TN,37922,Valencia Med Spa,(865) 346-2970,10321 Kingston Pike Ste 104,Knoxville,TN,37922,evx-2008
Med Care,770-773-9902,14 Legacy Way Suite A,Adairsville,GA,30103,Med Care of Adairsville,(762) 758-3217,14 Legacy Way Suite,Adairsville,GA,30103,evx-0775
Beyond Health and Wellness LLC,956-508-8989,7109 N Bartlett Ave. Ste. 110A,Laredo,TX,78041,Obgyn Associates Of Laredo P A,(956) 717-5775,7109 N Bartlett Ave Ste 101,Laredo,TX,78041,evx-2322
"OBGYN Associates of Laredo, P.A.",956-717-0095,7109 Bartlett Ave. Ste. 102,Laredo,TX,78041,Obgyn Associates Of Laredo P A,(956) 717-5775,7109 N Bartlett Ave Ste 101,Laredo,TX,78041,evx-2322
Sandusky Wellness Center,419-239-2565,3703 Columbus Ave.,Sandusky,OH,44870,"Med Spa At Sandusky Wellness, Llc",(419) 853-8411,3703 Columbus Ave Suite,Sandusky,OH,44870,evx-1742
Plessala Gynecology & Fertility,(251) 634-8124,6701 Airport Blvd STE B-229,Mobile,AL,36608,"Plessala Gynecology & Fertility, PLLC",(251) 309-5973,6701 Airport Blvd Ste,Mobile,AL,36608,evx-0021
Advanced Health Solutions Georgia Spine & Disc,(770) 926-9495,13190 Hwy 92 Ste 70-90,Woodstock,GA,30188,Advanced Health Solutions - GA,(478) 739-4278,13190 Highway 92 Suite 70,Woodstock,GA,30188,evx-0929
Unified Premier Women's Care,(770) 427-0285,574 Church Street,Marietta,GA,30060,FWC Unified Premier Women's Care Robbins,(470) 274-7533,574 Church St NE,Marietta,GA,30060,evx-0867
Unified Premier Women’s Care- 2,(770) 427-0285,574 Church St,Marietta,GA,30060,FWC Unified Premier Women's Care Robbins,(470) 274-7533,574 Church St NE,Marietta,GA,30060,evx-0867
Best Life Vitality,404-287-7624,2108 Fairburn Rd. Ste. G,Douglasville,GA,30135,Best Life Vitality,(386) 223-6693,2108 Fairburn Rd Suite,Douglasville,GA,30135,evx-0833
Feria Natural Health & Aesthetics,480-645-9018,11000 N Scottsdale Road Suite 195,Scottsdale,AZ,85254,Skindale Medspa,(602) 560-8325,11000 N Scottsdale Rd Ste 160,Scottsdale,AZ,85254,evx-0209
AZ Nurse Practitioner,208-731-1446,42101 N. 41st Dr. Suite 152-C,Anthem,AZ,85086,Vici Aesthetics,(213) 855-2732,42101 N 41ST Dr Ste 148,Anthem,AZ,85086,evx-0089
TruBalance Wellness,(334) 246-4000,2449 Moores Mill Road,Auburn,AL,36830,Trubalance Wellness,(334) 377-9047,2449 Moores Mill Rd Suite 110,Auburn,AL,36830,evx-0007
Kingdom Wellness & Family Health,(623) 295-9737,5422 W THUNDERBIRD RD Suite 10,Glendale,AZ,85306,Elite Integrative Group,(623) 343-4793,5422 West Thunderbird Road Ste 2,Glendale,AZ,85306,evx-0132
"Signature Women's Health Care, LLC",678-380-1200,1550 Janmar Rd Ste B,Snellville,GA,30078,Renew Health,(678) 400-2540,1550 Janmar Rd Ste,Snellville,GA,30078,evx-0907
Premier Health & Wellness,678-418-6990,5900 Hillandale Drive Ste 325,Lithonia,GA,30058,Premier Health & Wellness,(470) 441-4439,5900 Hillandale Drive Ste,Lithonia,GA,30058,evx-0862
Healthy Habits Wellness Center,(304) 752-4594,258 Hanging Rock Hwy Suite. 3,Logan,WV,25601,Healthy Habits Wellness Center,(681) 881-1844,258 Hanging Rock Hwy Ste 3,Logan,WV,25601,evx-2784
Specialized Family Clinic,(956) 391-2654,801 E. Nolana Ste. 3,McAllen,TX,78504,Beauty and Health by Dr. Rashid,(956) 297-0244,801 E Nolana Ave Ste 7,McAllen,TX,78504,evx-2389
